timestamp,student_id,tutor_mode,step,kc_idx,kc_name,action_idx,action_name,is_correct,response_time_sec,mean_belief,b_basic_arithmetic,b_adv_arithmetic,b_basic_algebra,b_adv_algebra
2026-07-25T01:05:36.234927,TEST_STU,Experimental Mode,1,0,Basic Arithmetic,0,Easy Problem,1,4.5,0.25,0.3,0.2,0.2,0.2
2026-07-25T01:10:18.659827,STU_101,Control Mode (Standard Linear Tutor),1,0,Basic Arithmetic,0,Easy Problem,1,11.14,0.2993,0.4949,0.2476,0.2261,0.2286
2026-07-25T01:10:26.621780,STU_101,Control Mode (Standard Linear Tutor),2,0,Basic Arithmetic,1,Medium Problem,1,7.96,0.3786,0.8122,0.2476,0.2261,0.2286
2026-07-25T01:10:29.638942,STU_101,Control Mode (Standard Linear Tutor),3,0,Basic Arithmetic,2,Hard Problem,1,3.02,0.4127,0.9487,0.2476,0.2261,0.2286
2026-07-25T01:10:32.617958,STU_101,Control Mode (Standard Linear Tutor),4,0,Basic Arithmetic,0,Easy Problem,1,2.98,0.4224,0.9874,0.2476,0.2261,0.2286
2026-07-25T01:10:35.488249,STU_101,Control Mode (Standard Linear Tutor),5,0,Basic Arithmetic,1,Medium Problem,1,2.87,0.4248,0.997,0.2476,0.2261,0.2286
2026-07-25T01:10:49.796974,STU_101,Control Mode (Standard Linear Tutor),6,1,Advanced Arithmetic,2,Hard Problem,1,14.31,0.5157,0.997,0.6109,0.2261,0.2286
2026-07-25T01:10:58.470314,STU_101,Control Mode (Standard Linear Tutor),7,1,Advanced Arithmetic,0,Easy Problem,0,8.67,0.4372,0.997,0.2971,0.2261,0.2286
2026-07-25T01:11:15.596685,STU_101,Control Mode (Standard Linear Tutor),8,1,Advanced Arithmetic,1,Medium Problem,1,17.13,0.5287,0.997,0.6629,0.2261,0.2286
2026-07-25T01:11:38.897089,STU_101,Experimental Mode (D3QN RL Tutor),1,0,Basic Arithmetic,3,Worked Example,1,5.87,0.3141,0.5543,0.2476,0.2261,0.2286
2026-07-25T01:11:43.101504,STU_101,Experimental Mode (D3QN RL Tutor),2,2,Basic Algebra,3,Worked Example,1,4.2,0.4162,0.5543,0.2476,0.6345,0.2286
2026-07-25T01:11:52.272820,STU_101,Experimental Mode (D3QN RL Tutor),3,3,Advanced Algebra,0,Easy Problem,0,9.17,0.4047,0.5543,0.2476,0.6345,0.1823
